Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
C5+		113.32	51.69	2.27	2.27	5.17	5.17	1843.31	12.00	5.00		0.00
C6+		103.66	63.21	2.07	2.07	6.32	6.32	2019.25	12.00	6.00		0.00
O4+		145.34	36.73	2.91	2.91	3.67	3.67	1427.82	16.00	4.00		0.00
O5+		130.13	47.64	2.60	2.60	4.76	4.76	1596.36	16.00	5.00		0.00
O6+		119.01	58.86	2.38	2.38	5.89	5.89	1748.72	16.00	6.00		0.00
O7+		110.42	70.12	2.21	2.21	7.01	7.01	1888.83	16.00	7.00		0.00
O8+		103.55	81.54	2.07	2.07	8.15	8.15	2019.25	16.00	8.00		0.00
N4+		136.32	38.53	2.73	2.73	3.85	3.85	1526.41	14.00	4.00		0.00
N5+		122.09	49.84	2.44	2.44	4.98	4.98	1706.58	14.00	5.00		0.00
N6+		111.68	61.25	2.23	2.23	6.13	6.13	1869.46	14.00	6.00		0.00
N7+		103.64	72.77	2.07	2.07	7.28	7.28	2019.25	14.00	7.00		0.00
Ne7+		122.91	64.96	2.46	2.46	6.50	6.50	1689.42	20.00	7.00		0.00
Ne8+		115.25	76.08	2.30	2.30	7.61	7.61	1806.07	20.00	8.00		0.00
Mg5+		157.88	40.45	3.16	3.16	4.05	4.05	1303.42	24.00	5.00		0.00
Mg6+		144.38	50.75	2.89	2.89	5.08	5.08	1427.82	24.00	6.00		0.00
Mg7+		133.96	61.29	2.68	2.68	6.13	6.13	1542.23	24.00	7.00		0.00
Mg8+		125.61	72.10	2.51	2.51	7.21	7.21	1648.71	24.00	8.00		0.00
Mg9+		118.73	83.15	2.37	2.37	8.32	8.32	1748.72	24.00	9.00		0.00
Mg10+		112.94	93.92	2.26	2.26	9.39	9.39	1843.31	24.00	10.00		0.00
Mg11+		107.97	104.77	2.16	2.16	10.48	10.48	1933.28	24.00	11.00		0.00
Mg12+		103.66	115.75	2.07	2.07	11.57	11.57	2019.25	24.00	12.00		0.00
Si5+		170.77	37.55	3.42	3.42	3.75	3.75	1206.73	28.00	5.00		0.00
Si6+		156.01	47.38	3.12	3.12	4.74	4.74	1321.91	28.00	6.00		0.00
Si7+		144.65	57.47	2.89	2.89	5.75	5.75	1427.82	28.00	7.00		0.00
