Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Ca1+		713.70	1.55	14.27	14.27	1.50	1.50	254.24	40.00	1.00		0.00
Fe1+		891.57	1.26	17.83	17.83	1.50	1.50	214.88	56.00	1.00		0.00
Step : 17	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		98.21	6.75	1.96	1.96	1.50	1.50	1551.29	1.00	1.00		0.00
3He1+		171.32	6.09	3.43	3.43	1.50	1.50	895.64	3.00	1.00		0.00
He1+		197.90	5.94	3.96	3.96	1.50	1.50	775.64	4.00	1.00		0.00
C1+		352.43	3.60	7.05	7.05	1.50	1.50	447.82	12.00	1.00		0.00
O1+		411.31	2.85	8.23	8.23	1.50	1.50	387.82	16.00	1.00		0.00
N1+		383.88	3.25	7.68	7.68	1.50	1.50	414.60	14.00	1.00		0.00
Ne1+		459.80	2.44	9.20	9.20	1.50	1.50	346.88	20.00	1.00		0.00
Mg1+		507.18	2.24	10.14	10.14	1.50	1.50	316.66	24.00	1.00		0.00
Si1+		576.10	1.91	11.52	11.52	1.50	1.50	293.17	28.00	1.00		0.00
S1+		629.12	1.75	12.58	12.58	1.50	1.50	274.23	32.00	1.00		0.00
Ca1+		726.74	1.51	14.53	14.53	1.50	1.50	245.28	40.00	1.00		0.00
Fe1+		909.49	300.00	18.19	18.19	30.00	30.00	207.30	56.00	1.00		0.00
Step : 18	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		99.39	6.59	1.99	1.99	1.50	1.50	1496.59	1.00	1.00		0.00
3He1+		173.42	5.94	3.47	3.47	1.50	1.50	864.06	3.00	1.00		0.00
He1+		200.29	5.80	4.01	4.01	1.50	1.50	748.30	4.00	1.00		0.00
C1+		357.02	3.50	7.14	7.14	1.50	1.50	432.03	12.00	1.00		0.00
O1+		417.01	2.76	8.34	8.34	1.50	1.50	374.15	16.00	1.00		0.00
N1+		389.02	3.15	7.78	7.78	1.50	1.50	399.98	14.00	1.00		0.00
Ne1+		466.17	2.37	9.32	9.32	1.50	1.50	334.65	20.00	1.00		0.00
Mg1+		514.47	2.18	10.29	10.29	1.50	1.50	305.49	24.00	1.00		0.00
Si1+		585.10	1.86	11.70	11.70	1.50	1.50	282.83	28.00	1.00		0.00
S1+		639.41	1.70	12.79	12.79	1.50	1.50	264.56	32.00	1.00		0.00
Ca1+		739.52	1.47	14.79	14.79	1.50	1.50	236.63	40.00	1.00		0.00
Fe1+		927.12	300.00	18.54	18.54	30.00	30.00	199.99	56.00	1.00		0.00
Step : 19	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		100.54	6.45	2.01	2.01	1.50	1.50	1443.82	1.00	1.00		0.00
3He1+		175.44	5.81	3.51	3.51	1.50	1.50	833.59	3.00	1.00		0.00
He1+		202.58	5.67	4.05	4.05	1.50	1.50	721.91	4.00	1.00		0.00
C1+		361.47	3.40	7.23	7.23	1.50	1.50	416.80	12.00	1.00		0.00
O1+		422.51	2.68	8.45	8.45	1.50	1.50	360.96	16.00	1.00		0.00
N1+		394.00	3.06	7.88	7.88	1.50	1.50	385.88	14.00	1.00		0.00
